player_id,NumOfInningsBatted,NotOutInnings,runs_scored,balls_faced,Bat_AVG,Bat_SR,MRA,BRPI,HS,NumOfIngsBowled,balls_bowled,runs_conceded,WCKTS,BW_AVG,BW_SR,BW_ECN,MDO
202,6,0,157,176,26.167,0.892,0.167,11.667,70,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
1215,9,2,395,472,56.429,0.837,0.333,24.444,133,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
1012,6,1,240,276,48,0.87,0.167,19,71,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
1013,3,2,38,32,38,1.188,0,6,34,8,363,272,14,19.429,25.929,4.496,5
,,,,,,,,,,,,,,,,,
508,9,1,282,343,35.25,0.822,0.222,12,100,2,12,12,0,12,12,6,0
,,,,,,,,,,,,,,,,,
502,8,0,380,310,47.5,1.226,0.25,29.75,175,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
1412,2,0,66,68,33,0.971,0.5,19,61,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
803,6,0,153,232,25.5,0.659,0,14,44,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
1111,1,0,0,1,0,0,0,0,0,1,24,4,0,4,24,1,1
,,,,,,,,,,,,,,,,,
601,6,0,180,270,30,0.667,0.333,15,75,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
1014,2,0,8,17,4,0.471,0,2,8,5,203,158,8,19.75,25.375,4.67,0
,,,,,,,,,,,,,,,,,
511,6,1,74,64,14.8,1.156,0,8.333,30,6,210,167,1,167,210,4.771,2
,,,,,,,,,,,,,,,,,
1015,7,1,185,261,30.833,0.709,0.286,6.286,72,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
515,8,4,362,420,90.5,0.862,0.625,21.75,113,9,450,377,15,25.133,30,5.027,2
,,,,,,,,,,,,,,,,,
314,6,0,104,231,17.333,0.45,0,4.667,34,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
507,4,0,18,21,4.5,0.857,0,2,9,9,489,394,21,18.762,23.286,4.834,4
,,,,,,,,,,,,,,,,,
306,0,0,0,0,0,0,0,0,0,1,18,20,0,20,18,6.667,0
,,,,,,,,,,,,,,,,,
1206,0,0,0,0,0,0,0,0,0,1,54,43,0,43,54,4.778,0
,,,,,,,,,,,,,,,,,
513,0,0,0,0,0,0,0,0,0,2,78,105,0,105,78,8.077,0
,,,,,,,,,,,,,,,,,
